Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/blosc/bitshuffle-avx2.c,75.89% (107/141),60.00% (3/5),72.34% (68/94)
src/c-blosc2/blosc/bitshuffle-generic.c,0.00% (0/137),0.00% (0/10),0.00% (0/119)
src/c-blosc2/blosc/bitshuffle-sse2.c,0.00% (0/315),0.00% (0/10),0.00% (0/140)
src/c-blosc2/blosc/blosc-private.h,46.73% (50/107),60.00% (3/5),50.00% (15/30)
src/c-blosc2/blosc/blosc2.c,37.18% (979/2633),47.87% (45/94),30.75% (705/2293)
src/c-blosc2/blosc/blosc2_stdio.c,0.00% (0/37),0.00% (0/7),0.00% (0/7)
src/c-blosc2/blosc/blosclz.c,21.84% (83/380),25.00% (2/8),17.37% (58/334)
src/c-blosc2/blosc/delta.c,14.93% (20/134),50.00% (1/2),13.64% (12/88)
src/c-blosc2/blosc/fastcopy.c,32.20% (85/264),46.67% (7/15),33.94% (37/109)
src/c-blosc2/blosc/frame.c,18.70% (504/2695),48.39% (15/31),19.17% (524/2734)
src/c-blosc2/blosc/schunk.c,7.64% (81/1060),14.71% (5/34),4.14% (44/1062)
src/c-blosc2/blosc/sframe.c,0.00% (0/83),0.00% (0/5),0.00% (0/94)
src/c-blosc2/blosc/shuffle-avx2.c,10.19% (48/471),16.67% (2/12),10.66% (26/244)
src/c-blosc2/blosc/shuffle-generic.c,50.00% (3/6),50.00% (1/2),50.00% (1/2)
src/c-blosc2/blosc/shuffle-generic.h,33.33% (12/36),50.00% (1/2),50.00% (7/14)
src/c-blosc2/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc2/blosc/shuffle.c,62.99% (97/154),77.78% (7/9),64.62% (42/65)
src/c-blosc2/blosc/stune.c,41.03% (48/117),33.33% (2/6),46.97% (31/66)
src/c-blosc2/blosc/stune.h,57.14% (12/21),100.00% (1/1),50.00% (10/20)
src/c-blosc2/blosc/timestamp.c,0.00% (0/11),0.00% (0/3),0.00% (0/3)
src/c-blosc2/blosc/trunc-prec.c,0.00% (0/44),0.00% (0/3),0.00% (0/24)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4.c,22.41% (294/1312),13.41% (11/82),26.21% (335/1278)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4hc.c,0.00% (0/1055),0.00% (0/58),0.00% (0/909)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/adler32.c,53.52% (38/71),16.67% (1/6),64.71% (55/85)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/adler32_p.h,34.48% (10/29),33.33% (1/3),33.33% (6/18)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/chunkset.c,71.43% (15/21),80.00% (4/5),80.00% (4/5)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/chunkset_tpl.h,60.94% (78/128),83.33% (5/6),58.21% (39/67)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/compare258.c,0.00% (0/42),0.00% (0/3),0.00% (0/36)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/compress.c,0.00% (0/39),0.00% (0/3),0.00% (0/31)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/crc32.c,0.00% (0/50),0.00% (0/7),0.00% (0/38)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate.c,0.00% (0/945),0.00% (0/24),0.00% (0/1121)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate.h,0.00% (0/55),0.00% (0/5),0.00% (0/25)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate_fast.c,0.00% (0/53),0.00% (0/1),0.00% (0/77)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate_medium.c,0.00% (0/185),0.00% (0/4),0.00% (0/189)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate_p.h,0.00% (0/25),0.00% (0/2),0.00% (0/9)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate_quick.c,0.00% (0/57),0.00% (0/1),0.00% (0/98)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/deflate_slow.c,0.00% (0/74),0.00% (0/1),0.00% (0/94)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/functable.c,37.14% (26/70),42.86% (6/14),40.00% (8/20)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/inffast.c,81.10% (133/164),100.00% (2/2),78.72% (74/94)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/inflate.c,50.16% (484/965),43.48% (10/23),51.70% (638/1234)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/inftrees.c,90.68% (146/161),100.00% (1/1),95.41% (104/109)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/insert_string_tpl.h,0.00% (0/37),0.00% (0/2),0.00% (0/17)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/match_tpl.h,0.00% (0/65),0.00% (0/1),0.00% (0/67)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/trees.c,0.00% (0/418),0.00% (0/18),0.00% (0/496)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/trees_emit.h,0.00% (0/102),0.00% (0/9),0.00% (0/92)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/uncompr.c,87.50% (42/48),100.00% (2/2),77.08% (37/48)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/zutil.c,17.39% (8/46),33.33% (2/6),6.45% (2/31)
src/c-blosc2/internal-complibs/zlib-ng-2.0.2/zutil_p.h,100.00% (8/8),100.00% (2/2),100.00% (2/2)
src/c-blosc2/internal-complibs/zstd-1.4.9/common/bitstream.h,35.92% (74/206),52.63% (10/19),43.88% (43/98)
src/c-blosc2/internal-complibs/zstd-1.4.9/common/cpu.h,38.75% (31/80),100.00% (2/2),100.00% (6/6)
