Path,Line Coverage,Function Coverage,Region Coverage
src/upb/cmake/google/protobuf/descriptor.upb.h,0.46% (7/1533),0.36% (2/556),0.89% (5/559)
src/upb/tests/file_descriptor_parsenew_fuzzer.cc,100.00% (6/6),100.00% (1/1),100.00% (1/1)
src/upb/third_party/wyhash/wyhash.h,0.00% (0/63),0.00% (0/15),0.00% (0/31)
src/upb/upb/decode.c,76.16% (329/432),78.26% (18/23),72.10% (199/276)
src/upb/upb/decode.h,100.00% (3/3),100.00% (1/1),100.00% (1/1)
src/upb/upb/decode_internal.h,60.98% (50/82),55.56% (5/9),59.68% (37/62)
src/upb/upb/encode.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/upb/upb/msg.c,20.00% (39/195),15.79% (3/19),23.36% (25/107)
src/upb/upb/msg_internal.h,16.24% (51/314),20.00% (11/55),27.93% (31/111)
src/upb/upb/table.c,0.00% (0/484),0.00% (0/60),0.00% (0/350)
src/upb/upb/table_internal.h,0.00% (0/60),0.00% (0/15),0.00% (0/20)
src/upb/upb/upb.c,47.85% (89/186),50.00% (11/22),40.77% (53/130)
src/upb/upb/upb.h,42.59% (46/108),47.37% (9/19),61.90% (26/42)
src/upb/upb/upb.hpp,11.76% (2/17),16.67% (2/12),16.67% (2/12)
Totals,17.84% (622/3486),7.80% (63/808),22.31% (380/1703)
